id,web_id,title,link,date_posted,summary,source,unique_id,created_at,updated_at,is_relevant
9f9648b5-f9eb-4f1c-b039-8bd235a2e748,1:13:3881228,PHOTOS: San Diego pets you can adopt during NBC 7's Clear the Shelters campaign,https://www.nbcsandiego.com/clear-the-shelters/photos-adoptable-pets-san-diego-county/3881228/,2025-08-05 00:01:54+00:00,Are you ready to bring a lifetime of happiness to a furry friend? See photos of some pets you can adopt today.,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881228,2025-08-04 21:46:18.545600,2025-08-04 21:46:18.545631,True
b9b65963-27e4-44d9-87c4-2c32e14deb2e,1:13:3882105,"San Diego City Attorney rejects case against man accused of groping, flashing women",https://www.nbcsandiego.com/news/local/city-attorney-rejects-case-against-groping-suspect/3882105/,2025-08-05 04:20:22+00:00,"The San Diego City Attorney’s office rejected a case involving a man accused of groping and flashing several women around the city, authorities said.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3882105,2025-08-04 21:46:18.545930,2025-08-04 21:46:18.545932,True
18e526ca-d3ac-48cc-a144-5975592ba459,1:13:3882069,"Pacific Beach neighbors sue city, developer over 134-unit ADU complex",https://www.nbcsandiego.com/news/local/pacific-beach-neighbors-sue-city-developer-over-134-unit-adu-complex/3882069/,2025-08-05 01:07:44+00:00,Those who filed the suit say the city has ignored their pleas to stop or at least shrink a proposed housing project,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3882069,2025-08-04 21:46:18.546089,2025-08-04 21:46:18.546090,True
4b2a5b55-abbf-462c-9367-a8550a9328ad,1:13:3652691,Holiday Potluck Made Easy: Shop Smart for Office or Friendsgiving,https://www.nbcsandiego.com/news/local/holiday-potluck-made-easy-shop-smart-for-office-or-friendsgiving/3652691/,2024-10-28 16:00:00+00:00,"With a bit of strategizing, you can minimize the hassle of the holidays and maximize the fun. ",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3652691,2025-08-04 21:46:18.546227,2025-08-04 21:46:18.546228,True
034e14eb-77cc-4de5-9f93-9357a07d5451,1:13:3882053,San Diego County mayors convene for homelessness summit,https://www.nbcsandiego.com/video/news/local/san-diego-county-mayors-convene-for-homelessness-summit/3882053/,2025-08-05 00:18:18+00:00,"The annual symposium, held this year in Solana Beach, left local leaders hopeful, reports NBC 7’s Shelby Bremer.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3882053,2025-08-04 21:46:18.546395,2025-08-04 21:46:18.546396,True
1ce1f9e5-9379-4398-bfe1-3f7626103ef4,1:13:3881974,State law may relax permits for some nonprofits at city of San Diego beaches,https://www.nbcsandiego.com/news/local/state-law-may-relax-permits-for-some-nonprofits-at-city-of-san-diego-beaches/3881974/,2025-08-04 23:48:59+00:00,San Diego City Councilmembers are considering a change to local laws that would no longer require permits for certain nonprofits using the beach.,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881974,2025-08-04 21:46:18.546520,2025-08-04 21:46:18.546522,True
6e07162f-5694-4b11-85b5-ded394004295,1:13:3881986,California getting in its own way when it comes to building mass transit: Report,https://www.nbcsandiego.com/news/local/california-getting-in-its-own-way-when-it-comes-to-building-mass-transit-report/3881986/,2025-08-04 23:01:07+00:00,The much-lauded and much-derided High Speed Rail project from San Francisco to Los Angeles was supposed to be done by 2020 for $33 billion. Costs have continued to rise — now $128 billion — and the start of service is not expected till 2033.,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881986,2025-08-04 21:46:18.546694,2025-08-04 21:46:18.546695,True
c99f6f81-77e6-4e2f-8555-b9723b4b1a1b,1:13:3881902,Investigation underway after deadly MTS trolley crash in Chula Vista,https://www.nbcsandiego.com/news/local/mts-trolley-crash-chula-vista/3881902/,2025-08-04 21:24:14+00:00,"An MTS trolley was involved in a deadly crash in Chula Vista Monday afternoon, which created delays for riders. ",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881902,2025-08-04 21:46:18.546831,2025-08-04 21:46:18.546832,True
80ea0c60-9498-4452-8954-b76a1d4b1238,1:13:3881872,SDPD chief discusses mayor's executive order on ICE enforcement,https://www.nbcsandiego.com/video/videos/sdpd-chief-discusses-mayors-executive-order-on-ice-enforcement/3881872/,2025-08-04 19:33:01+00:00,"The order lists 16 ways to support migrant communities, including preventing SDPD from engaging in immigration enforcement.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881872,2025-08-04 21:46:18.546955,2025-08-04 21:46:18.546956,True
d5e48d7a-eb61-45b2-be08-3c7b2bf1fd93,1:13:3881836,"Parking meter rates jump to $10 next month for Padres games, Petco Park events",https://www.nbcsandiego.com/news/local/parking-meter-rates-padres-game-petco-park-special-events/3881836/,2025-08-04 19:20:11+00:00,The city of San Diego on Monday began installing new parking signs in downtown San Diego warning drivers that meter rates are jumping to $10 an hour during special events beginning in September. The city of San Diego said the new rules will affect parking meters within a half-mile radius of Petco Park two hours before and four hours after…,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881836,2025-08-04 21:46:18.547100,2025-08-04 21:46:18.547101,True
73091d5a-85f7-4ea4-a83f-f57b0283f328,1:13:3881229,San Diego's cannabis-tax revenue takes a big hit,https://www.nbcsandiego.com/news/investigations/san-diegos-weed-tax-revenue-takes-a-big-hit/3881229/,2025-08-04 17:58:46+00:00,"NBC 7 Investigates found the city is set to collect half as much cannabis tax in FY2025, compared with FY2021.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881229,2025-08-04 21:46:18.547229,2025-08-04 21:46:18.547230,True
d165fd1a-aedb-4819-a0cf-8475f749ac17,1:13:3881818,Black bear cub with bullet wound euthanized; siblings being cared for at Ramona Wildlife Center,https://www.nbcsandiego.com/news/local/black-bear-cub-rescue-ramona-wildlife-center/3881818/,2025-08-04 17:56:12+00:00,"A trio of bear cubs were taken into the San Diego Humane Society’s Ramona Wildlife Center last month, but one was suffering from several conditions that prompted veterinarians to put her down, the agency said Monday. The female cub was suffering from a deformed limb and a bullet wound that was lodged in her front paw, which would have...",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881818,2025-08-04 21:46:18.547375,2025-08-04 21:46:18.547376,True
93164f6c-f93a-4820-a1c2-7c1fc5e81f18,1:13:3881728,‘In a tough position here': San Diego police chief on immigration enforcement,https://www.nbcsandiego.com/video/videos/san-diego-police-chief-talks-immigration-street-racing-national-night-out/3881728/,2025-08-04 14:08:36+00:00,"San Diego Police Chief Scott Wahl joins NBC7 News Today to talk about the San Diego mayor’s immigration executive order, the department’s policies when it comes to immigration enforcement, street racing & more. ",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881728,2025-08-04 21:46:18.547580,2025-08-04 21:46:18.547581,True
507762c7-5976-41d8-93f5-f3f5e23a90ee,1:13:3881662,Man hit by car on Sports Arena Boulevard,https://www.nbcsandiego.com/news/local/man-hit-by-car-on-sports-arena-boulevard/3881662/,2025-08-04 05:19:39+00:00,"The man was crossing the street, and at the same time, a 28 year-old female was driving her 2015 Toyota Rav4 southbound on Sports Arena Blvd, according to police.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881662,2025-08-04 21:46:18.547707,2025-08-04 21:46:18.547708,True
9e9fc975-3f8d-4668-a60e-435dea44c3d1,1:13:3881637,Man shot dead inside Gaslamp Quarter bar,https://www.nbcsandiego.com/news/local/ongoing-homicide-investigation-gaslamp-quarter/3881637/,2025-08-04 01:22:27+00:00,"SDPD says that one person was shot, and that a suspect is in custody. There is no active threat to the community in the area. ",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881637,2025-08-04 21:46:18.547827,2025-08-04 21:46:18.547828,True
0546ccbe-b397-438c-b72d-32d76594922e,1:13:3881571,"Cease rewards Padres for keeping him around, shuts down Cardinals to take series",https://www.nbcsandiego.com/news/local/cease-rewards-padres-for-keeping-him-around-shuts-down-cardinals-to-take-series/3881571/,2025-08-03 23:11:27+00:00,Dylan Cease struck out 9 in  5.0 shutout innings to beat the Cardinals in his first start since the trade deadline.,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881571,2025-08-04 21:46:18.547946,2025-08-04 21:46:18.547947,True
62237c7a-f8ab-4006-bb69-6a16b1a493e6,1:13:3881604,One killed and eight injured in multi-vehicle crash on the I-15 near Rancho Bernardo,https://www.nbcsandiego.com/news/local/one-killed-eight-injured-multi-vehicle-crash-15-near-rancho-bernardo/3881604/,2025-08-03 22:35:37+00:00,"Eight people were transported to the hospital due to the crash, and the San Diego Fire Department tells NBC 7 that two of those persons were children.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881604,2025-08-04 21:46:18.548068,2025-08-04 21:46:18.548069,True
e3967fce-82d5-4932-9c72-fcf82f71e5ed,1:13:3881568,Three-year-old horse dies from racing injury at Del Mar,https://www.nbcsandiego.com/news/local/three-year-old-horse-dies-from-racing-injury-at-del-mar/3881568/,2025-08-03 20:28:12+00:00,"A 3-year-old thoroughbred colt has died after suffering an injury at Del Mar Thoroughbred Club in the track’s first horse racing death of the year, officials said Sunday.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881568,2025-08-04 21:46:18.548202,2025-08-04 21:46:18.548203,True
d2cc24fa-2c32-4d6c-858e-e9cec7e14246,1:13:3881554,"Four men accused of drugging, sexual assaulting three teenage girls in San Marcos",https://www.nbcsandiego.com/news/local/four-men-arrested-in-sexual-assault-of-three-teenage-girls-in-san-marcos/3881554/,2025-08-03 18:53:51+00:00,"Four men were arrested for allegedly drugging and sexually assaulting three teenage girls in San Marcos, authorities said Saturday. The sexual assault was reported to the San Diego County Sheriff’s Office Friday. Deputies learned three girls, ages 16, 17 and 17, were drugged and sexually assaulted by four men in the 200 block of Woodland Parkway, near East Mission Road,…",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881554,2025-08-04 21:46:18.548367,2025-08-04 21:46:18.548368,True
6124f17d-0e86-4218-a505-483718f92efa,1:13:3881485,Padres winning streak snapped in setback to St. Louis,https://www.nbcsandiego.com/news/local/padres-winning-streak-snapped-in-setback-to-st-louis/3881485/,2025-08-03 06:52:59+00:00,"The Padres gave up an early lead, something they don’t do very often, in an 8-5 loss to the Cardinals, snapping their 6-game winning streak.",SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881485,2025-08-04 21:46:18.548483,2025-08-04 21:46:18.548484,True
fb399335-527a-48b8-b849-e5cea179b30e,1:13:3881480,City of San Diego makes amendments to lawsuit over La Jolla cityhood,https://www.nbcsandiego.com/news/local/city-san-diego-makes-amendments-lawsuit-over-la-jolla-cityhood/3881480/,2025-08-03 05:41:08+00:00,The City of San Diego made amendments to its lawsuit seeking to stop La Jolla from becoming its own city.,SOURCE_TYPE.NBC7,SOURCE_TYPE.NBC71:13:3881480,2025-08-04 21:46:18.548584,2025-08-04 21:46:18.548585,True
76912d0f-7c0d-4478-be1b-9a7e753d569d,2477931,"Bicyclist hit, killed by trolley in South Bay",https://fox5sandiego.com/traffic/bicyclist-hit-killed-by-trolley-in-south-bay/,2025-08-04 18:53:33-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52477931,2025-08-04 21:46:18.719133,2025-08-04 21:46:18.719143,True
80873c56-5f1a-49c9-97a7-83e87b2da855,2477872,"One killed, multiple injured in I-15 crash",https://fox5sandiego.com/traffic/fatal-crash-i-15/,2025-08-04 16:15:24-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52477872,2025-08-04 21:46:18.719260,2025-08-04 21:46:18.719261,True
f7eed300-c049-4af8-95bf-2f6aae21e7be,2477340,Single-vehicle crash impacts northbound I-5 traffic,https://fox5sandiego.com/traffic/single-vehicle-crash-i-5-san-diego-county/,2025-08-04 08:39:07-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52477340,2025-08-04 21:46:18.719321,2025-08-04 21:46:18.719321,True
8d999ff9-43fb-49b7-8c4f-18e3ef928718,2476908,Deadly crash reported on I-15 near Carmel Mountain …,https://fox5sandiego.com/traffic/deadly-crash-on-i-15-near-carmel-mountain-ranch-prompts-lane-closure/,2025-08-03 13:57:32-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52476908,2025-08-04 21:46:18.719446,2025-08-04 21:46:18.719447,True
33d3f317-a97a-4411-b10b-550148287881,2476760,Pedestrian struck by vehicle in Point Loma Heights,https://fox5sandiego.com/traffic/pedestrian-struck-by-vehicle-in-point-loma-heights/,2025-08-03 09:17:44-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52476760,2025-08-04 21:46:18.719567,2025-08-04 21:46:18.719567,True
420e7840-ad36-41c6-8d2d-d626eabf4ccf,2476191,Vista reverses course on protected bike lanes months …,https://fox5sandiego.com/news/local-news/north-county/vista-reverses-course-on-protected-bike-lanes-months-after-installation/,2025-08-02 09:30:49-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52476191,2025-08-04 21:46:18.719624,2025-08-04 21:46:18.719625,True
9e478b61-d193-4784-97df-383aa19f85e0,2474813,Driver wanted after hit-and-run with bicyclist in …,https://fox5sandiego.com/traffic/driver-wanted-after-hit-and-run-with-bicyclist-in-golden-hill/,2025-07-31 18:50:33-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52474813,2025-08-04 21:46:18.719742,2025-08-04 21:46:18.719742,True
50afb0b6-8e9c-42e1-92aa-63c28f3494b5,2473902,DUI suspected in multi-vehicle crash in PB,https://fox5sandiego.com/traffic/dui-suspected-in-multi-vehicle-crash-on-grand-avenue-in-pacific-beach/,2025-07-31 06:58:54-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52473902,2025-08-04 21:46:18.719797,2025-08-04 21:46:18.719798,True
e93ccbc4-bd61-492e-af07-777e0d9146c8,2473888,Motorcyclist suffers serious head injury in PB crash,https://fox5sandiego.com/traffic/motorcyclist-suffers-serious-head-injury-in-pacific-beach-crash/,2025-07-31 06:50:54-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52473888,2025-08-04 21:46:18.719852,2025-08-04 21:46:18.719852,True
4369b2fb-3eef-4765-93d4-c200b5d53964,2473576,Driver arrested after deadly hit-and-run crash,https://fox5sandiego.com/traffic/driver-arrested-after-motorcyclist-killed-in-i-5-hit-and-run-crash/,2025-07-30 19:08:18-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52473576,2025-08-04 21:46:18.719905,2025-08-04 21:46:18.719905,True
850a79f4-f5b4-43cf-babf-fb7104c76665,2472987,Rollover crash snarls traffic on I-5 in North County,https://fox5sandiego.com/traffic/rollover-crash-on-i-5-in-north-county-impacting-southbound-traffic/,2025-07-30 14:18:23-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52472987,2025-08-04 21:46:18.719968,2025-08-04 21:46:18.719969,True
7cd1c0c2-95ed-468e-9656-b33485489cab,2468804,"Driver slams into tree, killed in North County crash",https://fox5sandiego.com/traffic/driver-slams-into-tree-killed-in-north-county-crash/,2025-07-25 21:11:21-07:00,,SOURCE_TYPE.FOX5,SOURCE_TYPE.FOX52468804,2025-08-04 21:46:18.720242,2025-08-04 21:46:18.720243,True
